Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGENL019-23_r_1_s_50_BGENL019-23,BGENL019-23,28526282,15832,346,1533,0.0,1272.0,655.9686888454012,645.0
BGENL020-23_r_1_s_50_BGENL020-23,BGENL020-23,6737853,226,99,1533,0.0,23.0,9.36399217221135,9.0
BGENL021-23_r_1_s_50_BGENL021-23,BGENL021-23,5439432,212,100,1533,0.0,31.0,9.272015655577299,6.0
BGENL022-23_r_1_s_50_BGENL022-23,BGENL022-23,17617181,22494,1115,1533,724.0,2065.0,1382.5342465753424,1333.0
BGENL023-23_r_1_s_50_BGENL023-23,BGENL023-23,7463725,930,262,1533,1.0,157.0,36.28767123287671,14.0
BGENL024-23_r_1_s_50_BGENL024-23,BGENL024-23,3845514,7658,114,1533,239.0,613.0,430.0919765166341,422.0
BGENL025-23_r_1_s_50_BGENL025-23,BGENL025-23,174425,42,4,1533,0.0,9.0,2.8003913894324852,2.0
BGENL026-23_r_1_s_50_BGENL026-23,BGENL026-23,27937368,3234,307,1533,69.0,235.0,161.87866927592955,161.0
BGENL027-23_r_1_s_50_BGENL027-23,BGENL027-23,190032,68,5,1533,0.0,12.0,4.348336594911937,4.0
BGENL028-23_r_1_s_50_BGENL028-23,BGENL028-23,5869998,1134,28,1533,23.0,102.0,57.043052837573384,55.0
BGENL029-23_r_1_s_50_BGENL029-23,BGENL029-23,1223881,909,13,1533,22.0,103.0,55.037181996086105,53.0
BGENL030-23_r_1_s_50_BGENL030-23,BGENL030-23,5311519,2597,80,1533,63.0,294.0,144.7710371819961,142.0
BGENL031-23_r_1_s_50_BGENL031-23,BGENL031-23,6341667,943,247,1533,23.0,110.0,50.7573385518591,49.0
BGENL032-23_r_1_s_50_BGENL032-23,BGENL032-23,1617657,135,29,1533,0.0,18.0,8.129158512720156,8.0
BGENL033-23_r_1_s_50_BGENL033-23,BGENL033-23,13995052,1108,416,1533,16.0,126.0,56.20743639921722,52.0
BGENL034-23_r_1_s_50_BGENL034-23,BGENL034-23,2418174,5437,101,1533,15.0,743.0,272.16242661448143,256.0
BGENL035-23_r_1_s_50_BGENL035-23,BGENL035-23,2471221,165,48,1533,0.0,22.0,7.297455968688846,6.0
BGENL036-23_r_1_s_50_BGENL036-23,BGENL036-23,2919467,949,33,1533,4.0,71.0,41.782778864970645,42.0
BGENL037-23_r_1_s_50_BGENL037-23,BGENL037-23,8911113,2338,90,1533,5.0,197.0,98.37573385518591,100.0
BGENL038-23_r_1_s_50_BGENL038-23,BGENL038-23,4317458,2020,33,1533,7.0,163.0,84.83561643835617,85.0
BGENL039-23_r_1_s_50_BGENL039-23,BGENL039-23,5829438,2972,97,1533,1.0,228.0,133.27592954990214,129.0
BGENL040-23_r_1_s_50_BGENL040-23,BGENL040-23,8244244,3110,148,1533,1.0,245.0,160.78277886497065,166.0
BGENL041-23_r_1_s_50_BGENL041-23,BGENL041-23,2767780,1609,37,1533,3.0,163.0,65.94911937377691,60.0
BGENL042-23_r_1_s_50_BGENL042-23,BGENL042-23,4112922,857,58,1533,3.0,75.0,45.34050880626223,44.0
BGENL043-23_r_1_s_50_BGENL043-23,BGENL043-23,7095239,3890,78,1533,0.0,292.0,174.86301369863014,168.0
BGENL044-23_r_1_s_50_BGENL044-23,BGENL044-23,5692098,3054,84,1533,1.0,242.0,165.39334637964774,166.0
BGENL045-23_r_1_s_50_BGENL045-23,BGENL045-23,4959995,1180,50,1533,0.0,100.0,57.11741682974559,55.0
