ambig_basecount	ambig_full_basecount	cov_avg	cov_max	cov_min	dataset	error	identification	identification_method	identification_rank	length	n_aligned	n_reads	nuc_basecount	nuc_full_basecount	obs_taxon	sequence_id	skipped_reads_low_rel_score	species	stop_codons
0	0	128.3	None	None	data/skim2mito_default.fasta	None	Hydropsychidae	BLAST	family	1540	2943	16635882	657	1539	Hydropsychidae	BSNHM087-24_contig0;1559-3097;+;cox1	None	Diplectrona magna	0
0	0	203.327	None	None	data/skim2mito_default.fasta	None	Hydroptilidae	BLAST	family	1537	3764	6187364	657	1536	Tachinidae,Depressariidae,Nymphalidae,Hydroptilidae	BSNHM088-24_contig0;11947-13482;-;cox1	None	Hydroptila uncinata	0
0	0	79.6068	None	None	data/skim2mito_default.fasta	None	Hydroptilidae	BLAST	family	1498	2207	23290290	655	1497	Nymphalidae,Geometridae,Hydroptilidae	BSNHM098-24_contig3;796-2292;-;cox1	None	Stactobia eatoniella	0
0	0	75.2459	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	367	512	14366882	30	366	Limnephilidae	BSNHM099-24_contig2;1-366;+;cox1	None	Ecclisopteryx discoidea	0
0	0	57.0922	None	None	data/skim2mito_default.fasta	None	Rhyacophilidae	BLAST	family	1540	1073	3722806	657	1539	Psychomyiidae	BSNHM101-24_contig0;6948-8486;+;cox1	None	Rhyacophila meyeri	0
0	0	22.0091	None	None	data/skim2mito_default.fasta	None	Heptageniidae	BLAST	family	220	105	11891788	182	219	Heptageniidae,Leptophlebiidae,Dytiscidae	BSNHM102-24_contig0;746-964;+;cox1	None	Ecdyonurus austriacus	0
0	0	14.0441	None	None	data/skim2mito_default.fasta	None	Chloroperlidae	BLAST	family	454	94	3691152	451	453	Chloroperlidae	BSNHM104-24_contig0;7-459;-;cox1	None	Isoptena serricornis	0
0	0	172.199	None	None	data/skim2mito_default.fasta	None	Beraeidae	BLAST	family	1540	3268	4801718	657	1539	Syrphidae,Crambidae,Odontoceridae,Sericostomatidae,Beraeidae,Conoesucidae	BSNHM106-24_contig0;1544-3082;+;cox1	None	Beraeodina palpalis	0
0	0	19.7474	None	None	data/skim2mito_default.fasta	None	Leptoceridae	BLAST	family	1540	322	3197150	657	1539	Leptoceridae	BSNHM107-24_contig0;3600-5138;-;cox1	None	Athripsodes leucophaeus	0
0	0	38.1721	None	None	data/skim2mito_default.fasta	None	Rhyacophilidae	BLAST	family	1168	713	5732062	656	1167	Muscidae,Rhyacophilidae	BSNHM108-24_contig3;180-1346;+;cox1	None	Rhyacophila hartigi	0
0	0	47.4026	None	None	data/skim2mito_default.fasta	None	Leptoceridae	BLAST	family	1540	1166	3949264	657	1539	Leptoceridae	BSNHM110-24_contig0;1505-3043;+;cox1	None	Adicella syriaca	0
0	0	22.1385	None	None	data/skim2mito_default.fasta	None	Limnephilidae	BLAST	family	910	283	2729106	352	909	Limnephilidae	BSNHM111-24_contig9;5-913;+;cox1	None	Grammotaulius sibiricus	0
0	0	17.7552	None	None	data/skim2mito_default.fasta	None	Heptageniidae	BLAST	family	286	99	12239130	246	285	Heptageniidae	BSNHM114-24_contig2;57-341;+;cox1	None	Ecdyonurus bellieri	0
0	0	285.147	None	None	data/skim2mito_default.fasta	None	Leptophlebiidae	BLAST	family	1582	7145	3037880	654	1581	Caenidae,Potamanthidae,Perlidae,Chloroperlidae,Leuctridae,Chironomidae,Corydalidae	BSNHM115-24_circular;2361-3941;+;cox1	None	Thraulus bellus	0
